"","Sample.ID","diameter.cm","length.cm","mass.g","waxedmass.g","Sample.Type","Homog.Vol.ml","delta.mass.g","SA.cm2"
"10","1-POC-1",NA,NA,20.647,21.867,"E5",34,1.22,53.7274933800834
"11","1-ACR-1",NA,NA,3.664,4.185,"E5",16,0.520999999999999,23.6535780865487
"12","2-ACR-3",NA,NA,5.103,5.933,"E5",22.5,0.83,36.9480556626606
"13","2-POR-1",NA,NA,24.428,25.088,"E5",50,0.66,29.6339417858353
"14","2-POC-3",NA,NA,44.498,47.052,"E5",37.5,2.554,111.121775213524
"15","2-POR-3",NA,NA,68.202,69.536,"E5",150,1.334,58.6322520974839
"16","2-POR-2",NA,NA,47.039,48.06,"E5",98.5,1.021,45.1656777242702
"17","2-POC-2",NA,NA,15.236,16.198,"E5",27.5,0.962,42.627249967019
"18","2-POC-1",NA,NA,13.875,14.696,"E5",20,0.821,36.5608378691816
"19","1-POC-3",NA,NA,32.041,34.071,"E5",42.5,2.03,88.5770947931921
"20","1-POC-2",NA,NA,16.284,17.268,"E5",32.5,0.984000000000002,43.5737823510788
"21","1-ACR-3",NA,NA,11.726,12.553,"E5",14.5,0.827,36.8189830648342
"22","2-ACR-2",NA,NA,8.688,9.675,"E5",17.5,0.987,43.7028549489051
"23","2-ACR-1",NA,NA,9.163,9.801,"E5",8,0.638,28.6874094017755
"24","1-POR-1",NA,NA,22.487,22.987,"E5",40,0.5,22.7500699017644
"25","1-ACR-2",NA,NA,4.791,5.292,"E5",13,0.500999999999999,22.7930941010398
"26","1-POR-3",NA,NA,67.05,68.437,"E5",100,1.387,60.9125346590823
"27","1-POR-2",NA,NA,34.915,35.623,"E5",42.5,0.707999999999998,31.6991033510564
"28","Apul_227",NA,NA,2.91,3.312,"E5",9.5,0.402,18.533698372771
"29","Apul_281",NA,NA,8.719,9.343,"E5",13.5,0.624000000000001,28.0850706119193
"30","Apul_243",NA,NA,6.185,7.018,"E5",NA,0.833,37.0771282604869
"31","Apul_234",NA,NA,7.868,8.897,"E5",11,1.029,45.5098713184737
"32","Apul_237",NA,NA,4.292,5.095,"E5",13.5,0.803,35.7864022822236
"33","Apul_267",NA,NA,8.391,10.373,"E5",45,1.982,86.5119332279707
"34","Apul_244",NA,NA,7.967,8.785,"E5",27.5,0.818000000000001,36.4317652713553
"35","Apul_246",NA,NA,6.747,7.684,"E5",26,0.937,41.551644985133
"36","3-POR-2",NA,NA,73.555,75.66,"E5",97.5,2.10499999999999,91.8039097388498
"37","3-POC-3",NA,NA,14.634,16.228,"E5",27.5,1.594,69.818543909099
"38","3-POC-1",NA,NA,12.041,13.176,"E5",17,1.135,50.0704364416706
"39","Apul_247",NA,NA,7.896,9.203,"E5",26,1.307,57.4705987170468
"40","Apul_231",NA,NA,8.1,8.975,"E5",19,0.875,38.8841446300555
"41","3-POR-1",NA,NA,15.451,15.903,"E5",37.5,0.452,20.6849083365431
"42","3-POC-2",NA,NA,7.63,8.169,"E5",13.5,0.539000000000001,24.4280136735067
"43","3-POR-3",NA,NA,43.101,44.583,"E5",54,1.482,64.9998335902493
