"","Date","Run","Sample.ID","Chamber.ID","Intercept","umol.L.sec"
"2","20191029","Run1","1","A1",190.805364,-1.09723938572719
"3","20191029","Run1","7","B1",222.635588388509,-1.15336173539183
"4","20191029","Run1","13","C1",189.407129551282,-1.45229853479853
"5","20191029","Run1","19","D1",213.341988617703,-0.462122966107147
"6","20191029","Run1","2","A2",204.094600288448,-1.07783048530416
"7","20191029","Run1","8","B2",198.319882625066,-0.590445267054466
"8","20191029","Run1","14","C2",198.860525408276,-0.291404385088599
"9","20191029","Run1","20","D2",199.962853076296,-0.914033779848573
"10","20191029","Run1","3","A3",203.524105830811,-1.39326883037354
"11","20191029","Run1","9","B3",206.150005947552,-1.22710839160839
"12","20191029","Run1","15","C3",193.07841311533,-1.77321847163619
"13","20191029","Run1","21","D3",207.572198904921,-0.125843605669685
"14","20191029","Run1","4","A4",210.67811119808,-1.15889276927693
"15","20191029","Run1","10","B4",197.019460661151,-1.29223846988606
"16","20191029","Run1","16","C4",193.487093596772,-0.942477669605801
"17","20191029","Run1","22","D4",202.262143893203,0.0819848033248013
"18","20191029","Run1","5","A5",197.507730736842,-0.706008534850636
"19","20191029","Run1","11","B5",180.718318170274,-0.474279942279942
"20","20191029","Run1","17","C5",201.714998362983,-0.232555256064691
"21","20191029","Run1","23","D5",190.074891076923,0.121705939629986
"22","20191029","Run1","6","A6",194.637778029442,-0.138716000539496
"23","20191029","Run1","12","B6",198.957337581489,-0.574716297786719
"24","20191029","Run1","18","C6",202.148792922871,-0.537588195841718
"25","20191029","Run1","24","D6",191.370770441433,0.129326106594401
"26","20191029","Run2","25","A1",217.275690898793,-1.46777325433136
"27","20191029","Run2","31","B1",195.307880194652,-0.478363615959844
"28","20191029","Run2","37","C1",203.938423187171,-1.08019429103733
"29","20191029","Run2","43","D1",220.556617123874,-0.576560014486496
"30","20191029","Run2","26","A2",213.792496404747,-1.39019050604568
"31","20191029","Run2","32","B2",221.493129414865,-1.14118985921513
"32","20191029","Run2","38","C2",179.71809970335,-1.1396422999831
"33","20191029","Run2","44","D2",202.754386336085,-1.15421479947966
"34","20191029","Run2","27","A3",223.815220751526,-1.23803259921913
"35","20191029","Run2","33","B3",212.515232786826,-1.35556778705166
"36","20191029","Run2","39","C3",199.336993057971,-0.798634177862994
"37","20191029","Run2","45","D3",212.046913109712,-1.23051798015664
"38","20191029","Run2","28","A4",211.427135080672,-1.20823593320782
"39","20191029","Run2","34","B4",230.590936505866,-0.444748792270532
"40","20191029","Run2","40","C4",205.232971749033,-1.81058413813287
"41","20191029","Run2","46","D4",219.104277994739,-1.49233208216344
"42","20191029","Run2","29","A5",206.967837336225,-0.80137733253492
"43","20191029","Run2","35","B5",162.74698927769,-1.13038615848912
"44","20191029","Run2","41","C5",204.360617873796,-1.36602140326528
"45","20191029","Run2","47","D5",209.901717203977,-0.169700916221561
"46","20191029","Run2","30","A6",233.987525834152,0.0507212472878142
"47","20191029","Run2","36","B6",229.094424549983,-0.0466911348548156
"48","20191029","Run2","42","C6",225.933847411701,-0.102185468396248
"49","20191029","Run2","48","D6",226.059701267389,-0.000634635812689238
